weight logl star1_rad star2_rad bin_period bin_inc bin_t0 bin_rv_com ext_f153m ext_alpha
0.000000000000000000e+00 -1.000000000000000053e+300 2.294492974134984919e+01 8.685289465229040218e+00 2.423117864290627921e+01 1.365857665802429608e+02 5.379604866755714465e+04 1.160910454747955782e+02 5.314511002564700881e+00 2.277497554716247929e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.375700410603919011e+01 1.491476720730556593e+01 2.576369689838346844e+01 1.550328094333871150e+02 5.379581044996623677e+04 1.385213563960984970e+02 5.436071591758992128e+00 2.218347635509128057e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.345207510499524517e+01 1.445073183763280866e+01 2.530251155532122098e+01 9.513414131164088872e+01 5.380449576732488640e+04 1.633543212983543356e+02 5.140683581806266389e+00 2.162904739526438025e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.486644968367800601e+01 9.833451992713818868e+00 2.481262863092392834e+01 3.155678406994196905e+01 5.380185796162804763e+04 1.151723960016836372e+02 5.700538353538931347e+00 2.190893322608801874e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.307244307345303369e+01 8.031139937941388141e+00 2.443774509692213925e+01 8.879957345317471606e+01 5.379684409194162436e+04 1.813511307185511896e+02 4.739062739134832114e+00 2.250161207666936836e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.358082991699203035e+01 1.058689092000247456e+01 2.415927717421928023e+01 1.307024331128554309e+02 5.380173356847475225e+04 1.470053190871619790e+02 5.272208685092763858e+00 2.254141105589559047e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.434387666428526842e+01 1.174437000744576309e+01 2.506691020239391321e+01 1.347373459294308873e+02 5.380164831311181479e+04 1.043415091596606601e+02 5.061825390458740692e+00 2.259766304045236041e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.360923702721129303e+01 9.212910041040334619e+00 2.495016577345581865e+01 1.307776997537318096e+02 5.380041650131552160e+04 1.078528462889838835e+02 4.312884726217538045e+00 2.183030912177191141e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.440898410271061181e+01 9.280535525872918967e+00 2.564497315864285909e+01 1.102943063659829050e+02 5.379575062857767625e+04 1.583012807483458175e+02 4.270655490729430070e+00 2.272478754875879581e+00
0.000000000000000000e+00 -1.000000000000000053e+300 2.397646824307779667e+01 1.173091121699915362e+01 2.582644043714331517e+01 1.397263675091202515e+02 5.379750982626609766e+04 1.727141293868209573e+02 4.591105831341018906e+00 2.236824056782224179e+00
0.000000000000000000e+00 -1.000000000000000053e+300 1.855118862023804382e+01 1.259894758850038698e+01 2.522738588504395807e+01 4.483206193495868064e+01 5.380420510555447254e+04 1.509765285670156345e+02 4.743679397024668454e+00 2.202061755012472144e+00
