logz logzerr logvol nlive logl logwt insert_order
-1.000000000000000053e+300 inf -5.006050195691798266e-02 4.870000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -5.211600113901400377e-02 4.860000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -5.417573410202457251e-02 4.850000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -5.623971832287606026e-02 4.840000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -5.830797138693508130e-02 4.830000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -6.038051098890746121e-02 4.820000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -6.245735493374658664e-02 4.810000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -6.453852113757115039e-02 4.800000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -6.662402762859252758e-02 4.790000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -6.871389254805178315e-02 4.780000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -7.080813415116654630e-02 4.770000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -7.290677080808775912e-02 4.760000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -7.500982100486655590e-02 4.750000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -7.711730334443127333e-02 4.740000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -7.922923654757479950e-02 4.730000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -8.134563945395238693e-02 4.720000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -8.346653102309001260e-02 4.710000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -8.559193033540349327e-02 4.700000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -8.772185659322839779e-02 4.690000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -8.985632912186101995e-02 4.680000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -9.199536737061043967e-02 4.670000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -9.413899091386188078e-02 4.660000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -9.628721945215144851e-02 4.650000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -9.844007281325249659e-02 4.640000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.005975709532736934e-01 4.630000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.027597339577689117e-01 4.620000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.049265820428592483e-01 4.610000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.070981355563670884e-01 4.600000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.092744149789626196e-01 4.590000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.114554409253228212e-01 4.580000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.136412341453030828e-01 4.570000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.158318155251217008e-01 4.560000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.180272060885573654e-01 4.550000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.202274269981598032e-01 4.540000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.224324995564737700e-01 4.530000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.246424452072766031e-01 4.520000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.268572855368294561e-01 4.510000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.290770422751423563e-01 4.500000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.313017372972535013e-01 4.490000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.335313926245226268e-01 4.480000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.357660304259389605e-01 4.470000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.380056730194437198e-01 4.460000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
