weight logl star1_rad star2_rad bin_period bin_inc bin_t0 bin_rv_com ext_f153m ext_alpha
0.000000000000000000e+00 -1.000000000000000053e+300 9.171336070692792664e-01 9.878238867579380855e-01 8.818484491917346624e-01 8.612933857410395300e-01 8.104499662359199164e-02 3.852135639609850504e-01 7.180357958794961748e-01 3.488555272460940326e-01
0.000000000000000000e+00 -1.000000000000000053e+300 8.968050069996831297e-01 9.215331196618299359e-01 6.512557776606107129e-01 5.285230072868938311e-01 9.495767324886215111e-01 6.335432129835434356e-01 5.703417909031333055e-01 1.265923460489493113e-02
0.000000000000000000e+00 -1.000000000000000053e+300 9.910966455785336082e-01 2.619217132448311558e-01 4.063143154619645037e-01 1.753154670552331540e-01 6.857961628045787794e-01 1.517239600168363012e-01 8.502691767694655622e-01 9.619252035403280665e-02
0.000000000000000000e+00 -1.000000000000000053e+300 8.714962048968688535e-01 4.448562563055480368e-03 2.188725484610704042e-01 4.933309636287483979e-01 1.844091941622975073e-01 8.135113071855117894e-01 3.695313695674162791e-01 7.492209654025923093e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.053886611328021417e-01 3.695558457146391751e-01 7.963858710964077936e-02 7.261246284047523369e-01 6.733568474751410182e-01 4.700531908716198970e-01 6.361043425463821510e-01 7.895046059807810934e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.562584442856844058e-01 5.349100010636805846e-01 5.334551011969570489e-01 7.485408107190605342e-01 6.648313111816464005e-01 4.341509159660661421e-02 5.309126952293704571e-01 8.394524851928737430e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.072824684807527795e-01 1.732728630057619457e-01 4.750828867279085488e-01 7.265427764096211716e-01 5.416501315523658544e-01 7.852846288983883483e-02 1.564423631087688005e-01 5.871689798217316625e-02
0.000000000000000000e+00 -1.000000000000000053e+300 9.605989401807075723e-01 1.829336465532740430e-01 8.224865793214294341e-01 6.127461464776827738e-01 7.506285776746013383e-02 5.830128074834580731e-01 1.353277453647150352e-01 9.216061717117951524e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.317645495385196153e-01 5.329873167141646606e-01 9.132202185716581377e-01 7.762575972728902318e-01 2.509826266100364522e-01 7.271412938682095817e-01 2.955529156705094529e-01 5.899702927820683618e-01
0.000000000000000000e+00 -1.000000000000000053e+300 5.700792413492029587e-01 6.569925126429123630e-01 6.136929425219783685e-01 2.490670107497704455e-01 9.205105554471301188e-01 5.097652856701564428e-01 3.718396985123342269e-01 1.758557084551465310e-01
0.000000000000000000e+00 -1.000000000000000053e+300 8.767678514234734655e-01 9.601663992939137859e-01 3.361448474669214148e-01 6.245079486985729567e-01 4.739224665166652528e-02 1.805014879945352479e-01 6.684734934491485259e-01 8.640853135915114169e-01
0.000000000000000000e+00 -1.000000000000000053e+300 9.520769746942751022e-01 4.323390170329627358e-01 4.587616282175914773e-01 1.506801477186178184e-01 9.269938409536792046e-01 4.693109732166749204e-01 3.138163305531209701e-01 1.273656591314242803e-02
0.000000000000000000e+00 -1.000000000000000053e+300 9.495100295940352986e-01 5.209352521427845772e-03 3.395919169192433973e-01 8.840931523096502431e-01 2.364715200146105811e-01 1.493852851557158079e-01 8.234908010790795707e-01 8.445371648327056890e-01
0.000000000000000000e+00 -1.000000000000000053e+300 8.943734941032626118e-01 7.695306435210943485e-01 5.895452056182026723e-02 2.863610365330953034e-01 4.912814890807454260e-01 2.888048313143274370e-01 9.920004246247584589e-01 6.701193250489524411e-01
