star1_rad star2_rad bin_period bin_inc bin_t0 bin_rv_com ext_f153m ext_alpha
1.408067200847715839e+01 1.324328235602452075e+01 2.509048664919365024e+01 7.478432986488043355e+01 5.380002927533358161e+04 1.432581659639088798e+02 4.529683585021928138e+00 2.222747526910904270e+00
1.282764360752454103e+01 1.468060035483270553e+01 2.523305565567115849e+01 1.054667096389776475e+02 5.379986460187155171e+04 1.485177015094176909e+02 4.542785896910611854e+00 2.220058301848808036e+00
1.311492185165485580e+01 1.460747663972069432e+01 2.516360867258632084e+01 1.057886424092784665e+02 5.379989212258195039e+04 1.429071047108866139e+02 4.550243614514331902e+00 2.221344040700391709e+00
1.373123932528221225e+01 1.372237574323061793e+01 2.508793416112962404e+01 1.059203968773247766e+02 5.379995862187218154e+04 1.477013251433034497e+02 4.537607672610826093e+00 2.220107756082703609e+00
1.430849045712090728e+01 1.317880699174495440e+01 2.521995085272467207e+01 1.047218381274589660e+02 5.379990415443635720e+04 1.439943939212560622e+02 4.536036809319298868e+00 2.215900160465948510e+00
1.387042217829984025e+01 1.366652593273934713e+01 2.504291772440220853e+01 1.056444441116972683e+02 5.379996584011591767e+04 1.455614027002239652e+02 4.537655336790596294e+00 2.225849644381591386e+00
1.432023999848949458e+01 1.237508609537175275e+01 2.482785198586932651e+01 7.471912469055354222e+01 5.380005407165177894e+04 1.457422717676000161e+02 4.478654271065269477e+00 2.255852055531150757e+00
1.415131822928563921e+01 1.263753333121942823e+01 2.505006960785727088e+01 7.523812404993667258e+01 5.380002270806793240e+04 1.496987575400425499e+02 4.493816831070008178e+00 2.244174870101220964e+00
1.329198545530112696e+01 1.498852310667513343e+01 2.512984786593152720e+01 7.329824930920943871e+01 5.379992453698433383e+04 1.424085234423035899e+02 4.588442995160587401e+00 2.209159091671774267e+00
1.401344302160706334e+01 1.414257485595438268e+01 2.512314176761312723e+01 7.355489667849737145e+01 5.379991125083697261e+04 1.467430874742711353e+02 4.585732079899725200e+00 2.199287224084571335e+00
1.401501234513393790e+01 1.406715537096117430e+01 2.508578378222548011e+01 1.061669634352568607e+02 5.379995686532794207e+04 1.423630785249975474e+02 4.569484591903663073e+00 2.214391773085512494e+00
1.418176784150720593e+01 1.313303872931432181e+01 2.486929942598618126e+01 1.062610267900653866e+02 5.380008830388745264e+04 1.454232537150630264e+02 4.524892487702508070e+00 2.232847988962184616e+00
1.447290691504622195e+01 1.282474826568407877e+01 2.524306245533740167e+01 7.518642577361144674e+01 5.379987596658953407e+04 1.509041082788336325e+02 4.525416324197893303e+00 2.226141009590651976e+00
1.474127364575995536e+01 1.260077330832968556e+01 2.507758181255404750e+01 7.485853493239541478e+01 5.379997258869682264e+04 1.447743466916786588e+02 4.528589120505430721e+00 2.227440464494431005e+00
1.484726053645455757e+01 1.263711429425694988e+01 2.483463767424816027e+01 1.058790099023373159e+02 5.380007552716852661e+04 1.492930435928308839e+02 4.542535611348002433e+00 2.216078903167082004e+00
1.424324475236757159e+01 1.329888494439355640e+01 2.502996547313393805e+01 7.422162566407229178e+01 5.379999620600953494e+04 1.483710233852398801e+02 4.542456124603209133e+00 2.222889014465348811e+00
1.394378834710207471e+01 1.413139166053432305e+01 2.503856392286014909e+01 7.352510006077621085e+01 5.379995118044263654e+04 1.431773458996495378e+02 4.572893285544724407e+00 2.212669578361676770e+00
1.528875469993121250e+01 1.282968391915087913e+01 2.499482506887718003e+01 7.338109088044211603e+01 5.380003303477550799e+04 1.498953181061515636e+02 4.583081071822789454e+00 2.204900952825409988e+00
1.425610808026678100e+01 1.322078042612590210e+01 2.508553238666260654e+01 7.422300685262237607e+01 5.379996069666252151e+04 1.464473228121915440e+02 4.531973481947770388e+00 2.230684179563964697e+00
1.435881097136883966e+01 1.405624342931906590e+01 2.519209323993040783e+01 1.056503307113312928e+02 5.379993030112021370e+04 1.502407987050803797e+02 4.598342957724918634e+00 2.191392088638324687e+00
1.317327336309091024e+01 1.430615511083827585e+01 2.511023039192858164e+01 7.477008502130289003e+01 5.379994977977294184e+04 1.450989106670040769e+02 4.538078738793537070e+00 2.223942881428753182e+00
1.290379458635430154e+01 1.480958005550116852e+01 2.514834473998383402e+01 7.423496013472059474e+01 5.379997281822585501e+04 1.430248328401890490e+02 4.554514731724911947e+00 2.219034762175577047e+00
1.282801650833538787e+01 1.451493981203594785e+01 2.522959407700649237e+01 1.055971137862938320e+02 5.379989510460934252e+04 1.459063249509754314e+02 4.524817809495986332e+00 2.239045033558586528e+00
1.400696674252248819e+01 1.392729634576682152e+01 2.494334476327467343e+01 7.402922663247032631e+01 5.380003243338947505e+04 1.500051874235971923e+02 4.565387458599667880e+00 2.216236209084187614e+00
1.491560890566220721e+01 1.236321280855099936e+01 2.488730883026981289e+01 7.429549181885001019e+01 5.380006234030044288e+04 1.470849678673056644e+02 4.522684407471785129e+00 2.232414769850633363e+00
1.509771730493370256e+01 1.157431453330812943e+01 2.481216739672896310e+01 7.513949798739960784e+01 5.380008757895316376e+04 1.423463577631634394e+02 4.484911724125515420e+00 2.247372486514312762e+00
